,产品标题,一级类目,二级类目,三级类目,三级分词,二级分词,二级品类结果
80,2018披肩外套新款女装大码开衫雪纺衫长袖外搭上衣夏季中长款,女装,上衣,开衫,"{'m': ['2018'], 'n': ['披肩', '外套', '新款', '女装', '大码', '开衫', '雪纺衫', '长袖', '上衣'], 'f': ['外'], 'v': ['搭'], 't': ['夏季'], 'j': ['中长款']}","['配饰', '外套', '上衣', '上衣', '其它', '上衣']",上衣
81,2018新品 植物羊绒四件套 亲肤保暖加厚植物羊绒四件套,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新品', '植物', '羊绒', '四件套', '亲肤', '植物', '羊绒', '四件套'], 'v': ['保暖'], 'nr': ['加厚']}","['家纺', '家纺']",家纺
82,2018新品 植物羊绒四件套 简约时尚植物羊绒套件1.2m-2.2m,女装,家纺,四件套,"{'m': ['2018', '12'], 'n': ['新品', '植物', '羊绒', '四件套', '时尚', '植物', '羊绒', '套件'], 'd': ['简约'], 'eng': ['m22m']}",['家纺'],家纺
83,2018新品 欧式美大版天丝磨毛四件套 天丝磨毛数码印花四件套-凤鸾兰,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新品', '欧式', '丝', '磨毛', '四件套', '天丝', '磨毛', '数码', '印花', '四件套'], 'nt': ['美大版天'], 'nr': ['凤鸾兰']}","['家纺', '家纺']",家纺
84,2018新品 纯色双拼芦荟棉四件套 AB版设计简约时尚四件套,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新品', '纯色', '芦荟', '棉', '四件套', '版', '时尚', '四件套'], 'nr': ['双拼'], 'eng': ['AB'], 'vn': ['设计'], 'd': ['简约']}","['家纺', '家纺']",家纺
85,2018新品复古气质连衣裙中袖钉珠显瘦包臀裙大码女装,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新品', '气质', '连衣裙', '中袖', '钉珠', '臀裙', '大码', '女装'], 'vn': ['复古'], 'a': ['显瘦'], 'v': ['包']}",['连衣裙'],连衣裙
86,2018新品植物羊绒保暖舒适四件套,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新品', '植物', '羊绒', '四件套'], 'v': ['保暖'], 'a': ['舒适']}",['家纺'],家纺
87,2018新春女款超柔缎面上衣修身仿丝长袖衬衫【DB】g748,女装,上衣,衬衫,"{'m': ['2018'], 'ns': ['新春'], 'n': ['女款', '缎面', '上衣', '修身', '仿丝', '长袖', '衬衫'], 'a': ['超柔', 'DB'], 'eng': ['g748']}","['上衣', '其它', '上衣']",上衣
88,2018新款 欧洲站大码女装 胖mm显瘦 遮肚子藏肉长袖连衣裙女,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '大码', '女装', '胖', '肚子', '肉', '长袖', '连衣裙'], 'ns': ['欧洲'], 'v': ['站', '遮'], 'eng': ['mm'], 'a': ['显瘦'], 'j': ['藏'], 'b': ['女']}","['其它', '连衣裙']",连衣裙
89,2018新款 欧美大码女装 优雅名媛一字领修身a字裙刺绣连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018', '一'], 'n': ['新款', '大码', '女装', '字', '领', '修身', '字', '刺绣', '连衣裙'], 'ns': ['欧美'], 'a': ['优雅'], 'nr': ['名媛'], 'eng': ['a'], 'ng': ['裙']}","['裙子', '连衣裙']",连衣裙
90,2018新款 欧美大码女装 优雅名媛一字领修身a字裙刺绣连衣裙z344,女装,连衣裙,连衣裙,"{'m': ['2018', '一'], 'n': ['新款', '大码', '女装', '字', '领', '修身', '字', '刺绣', '连衣裙'], 'ns': ['欧美'], 'a': ['优雅'], 'nr': ['名媛'], 'eng': ['a', 'z344'], 'ng': ['裙']}","['裙子', '连衣裙']",连衣裙
91,2018新款 欧美大码女装 宽松显瘦 格子拼接长袖连衣裙女A字裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '大码', '女装', '格子', '长袖', '连衣裙', 'A字裙'], 'ns': ['欧美'], 'a': ['宽松', '显瘦'], 'v': ['拼接'], 'b': ['女']}","['其它', '连衣裙', '裙子']",裙子
92,2018新款 欧美女装 修身显瘦 时尚V领收腰条纹气质长袖连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '女装', '修身', '时尚', '领收', '腰', '条纹', '气质', '长袖', '连衣裙'], 'ns': ['欧美'], 'a': ['显瘦'], 'x': ['V']}","['其它', '连衣裙']",连衣裙
93,2018新款 欧美长袖宽松针织连衣裙中长款拼接印花打底毛衣裙g169,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '长袖', '针织', '连衣裙', '印花', '打底', '衣裙'], 'ns': ['欧美'], 'a': ['宽松'], 'j': ['中长款'], 'v': ['拼接'], 'nr': ['毛'], 'eng': ['g169']}","['其它', '连衣裙', '其它']",其它
94,2018新款 芦荟棉四件套,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新款', '芦荟', '棉', '四件套']}",['家纺'],家纺
95,2018新款-贡缎提花四件套,女装,家纺,四件套,"{'m': ['2018'], 'n': ['新款', '贡缎', '四件套'], 'v': ['提花']}",['家纺'],家纺
96,2018新款pu皮棉拖鞋女冬季包跟防水室内保暖毛绒家居棉鞋,女装,日用,拖鞋,"{'m': ['2018'], 'n': ['新款', '皮棉', '拖鞋', '家居', '棉鞋'], 'eng': ['pu'], 'b': ['女'], 't': ['冬季'], 'v': ['包', '防水', '保暖'], 'p': ['跟'], 's': ['室内'], 'nr': ['毛绒']}","['日用', '鞋']",鞋
97,2018新款七分喇叭袖条纹修身假两件连衣裙h408,女装,连衣裙,连衣裙,"{'m': ['2018', '七分', '两件'], 'n': ['新款', '喇叭', '袖', '条纹', '修身', '假', '连衣裙'], 'eng': ['h408']}",['连衣裙'],连衣裙
98,2018新款丝巾女 韩版百搭丝巾 纯色百变丝巾yhfs,女装,配饰,丝巾,"{'m': ['2018', '百'], 'n': ['新款', '丝巾', '版', '丝巾', '纯色', '丝巾'], 'b': ['女'], 'j': ['韩'], 'v': ['搭'], 'nz': ['百变'], 'eng': ['yhfs']}","['配饰', '配饰', '配饰']",配饰
99,2018新款丝巾春夏长款披肩防晒沙滩印花丝巾两用百变百搭,女装,配饰,披肩,"{'m': ['2018'], 'n': ['新款', '丝巾', '长款', '披肩', '印花', '丝巾', '两用'], 't': ['春夏'], 'v': ['防晒'], 'nr': ['沙滩'], 'l': ['百变百搭']}","['配饰', '配饰', '配饰']",配饰
100,2018新款丝巾长款撞色边印真丝棉丝巾两用百变百搭,女装,配饰,丝巾,"{'m': ['2018'], 'n': ['新款', '丝巾', '长款', '丝棉', '丝巾', '两用'], 'v': ['撞', '印'], 'ng': ['色'], 'd': ['边', '真'], 'l': ['百变百搭']}","['配饰', '配饰']",配饰
101,2018新款丝绒连衣裙小礼服气质中袖纱网拼接修身显瘦V领A字裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '丝绒', '连衣裙', '礼服', '气质', '中袖', '纱网', '修身', '领', 'A字裙'], 'a': ['小', '显瘦'], 'v': ['拼接'], 'eng': ['V']}","['连衣裙', '连衣裙', '裙子']",连衣裙
102,2018新款丝绒连衣裙小礼服气质中袖纱网拼接修身显瘦V领A字裙h395,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '丝绒', '连衣裙', '礼服', '气质', '中袖', '纱网', '修身', '领', 'A字裙'], 'a': ['小', '显瘦'], 'v': ['拼接'], 'eng': ['V', 'h395']}","['连衣裙', '连衣裙', '裙子']",连衣裙
103,2018新款中年妈妈秋冬装中长款加绒加厚长袖上衣,女装,上衣,上衣,"{'m': ['2018'], 'n': ['新款', '妈妈', '加绒', '长袖', '上衣'], 't': ['中年'], 'nr': ['秋冬装', '加厚'], 'j': ['中长款']}","['其它', '上衣']",上衣
104,2018新款中老年人秋冬装女立领棉衣马甲妈妈装加棉加厚气质御寒衣,女装,外套,棉衣,"{'m': ['2018'], 'n': ['新款', '中老年人', '棉衣', '马甲', '妈妈', '棉', '气质', '御寒衣'], 'nr': ['秋冬装', '加厚'], 'b': ['女'], 'v': ['立领', '装加']}","['外套', '外套']",外套
105,2018新款中老年女妈妈装春夏短款打底雪纺小衫中年人50岁40中袖,女装,上衣,小衫,"{'m': ['2018', '50', '岁', '40'], 'n': ['新款', '妈妈', '打底', '小衫', '中年人', '中袖'], 'j': ['中老年'], 'b': ['女', '短款'], 'v': ['装'], 't': ['春夏'], 'nz': ['雪纺']}","['其它', '上衣']",上衣
106,2018新款中老年女装冬装金丝绒打底衫中年妈妈装时尚大码加绒长袖保暖上衣,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '女装', '冬装', '打底衫', '妈妈', '时尚', '大码', '加绒', '长袖', '上衣'], 'j': ['中老年'], 'nr': ['金丝绒'], 't': ['中年'], 'v': ['装', '保暖']}","['上衣', '其它', '上衣']",上衣
107,2018新款中老年女装秋冬装加绒加厚打底裤高腰松紧腰弹力裤子长裤【DB】,女装,裤子,打底裤,"{'m': ['2018'], 'n': ['新款', '女装', '打底裤', '腰', '腰', '弹力', '裤子', '长裤'], 'j': ['中老年'], 'nr': ['秋冬装', '加绒', '加厚'], 'a': ['高', '松紧', 'DB']}","['裤子', '裤子', '裤子']",裤子
108,2018新款中长款开衫毛衣女秋季针织外套宽松韩版长袖新款百搭上衣h250,女装,上衣,开衫,"{'m': ['2018', '百'], 'n': ['新款', '开衫', '毛衣', '针织', '外套', '长袖', '新款', '上衣'], 'j': ['中长款'], 'b': ['女'], 't': ['秋季'], 'a': ['宽松'], 'nt': ['韩版'], 'v': ['搭'], 'eng': ['h250']}","['上衣', '上衣', '外套', '其它', '上衣']",上衣
109,2018新款亮丝T恤女长袖上衣大码修身百搭网纱打底衫高领洋气小衫,女装,上衣,打底衫,"{'m': ['2018', '百'], 'n': ['新款', '亮丝', 'T恤', '长袖', '上衣', '大码', '修身', '网纱', '打底衫', '高领', '洋气', '小衫'], 'b': ['女'], 'v': ['搭']}","['上衣', '其它', '上衣', '上衣', '上衣']",上衣
110,2018新款休闲板鞋内增高女士百搭帆布运动韩版时尚鞋,女装,鞋,鞋,"{'m': ['2018', '百'], 'n': ['新款', '板鞋', '内', '女士', '帆布', '时尚', '鞋'], 'v': ['休闲', '增高', '搭'], 'vn': ['运动'], 'nt': ['韩版']}","['鞋', '鞋']",鞋
111,2018新款休闲韩版时尚长袖条纹卫衣两件套,女装,上衣,卫衣,"{'m': ['2018'], 'n': ['新款', '时尚', '长袖', '条纹', '卫衣', '两件套'], 'v': ['休闲'], 'nt': ['韩版']}","['其它', '上衣', '套装']",套装
112,2018新款侧边条纹裤女紧身黑色打底裤两条杠外穿高腰松紧带白边小脚弹力裤,女装,裤子,打底裤,"{'m': ['2018', '两条'], 'n': ['新款', '条纹', '裤女', '黑色', '打底裤', '杠外', '腰', '白边', '小脚', '弹力', '裤'], 'f': ['侧边'], 'v': ['紧身', '穿'], 'a': ['高'], 'nr': ['松紧带']}","['裤子', '裤子', '裤子']",裤子
113,2018新款修身中长款仿羊剪绒皮毛一体大衣外套d214,女装,外套,大衣,"{'m': ['2018'], 'n': ['新款', '修身', '皮毛', '一体', '大衣', '外套'], 'j': ['中长款'], 'd': ['仿'], 'nr': ['羊剪绒'], 'eng': ['d214']}","['外套', '外套']",外套
114,2018新款修身外套女短裙韩版刺绣牛仔两件套装裙,女装,外套,外套,"{'m': ['2018', '两件'], 'n': ['新款', '修身', '外套', '短裙', '刺绣', '套装', '裙'], 'b': ['女'], 'nt': ['韩版'], 'nr': ['牛仔']}","['外套', '裙子', '套装', '裙子']",裙子
115,2018新款修身显瘦连衣裙娃娃领长袖港味矮个子显高裙子,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '修身', '连衣裙', '娃娃', '长袖', '港味', '矮个子', '裙子'], 'a': ['显瘦'], 'v': ['领', '显高']}","['连衣裙', '其它', '裙子']",裙子
116,2018新款健步鞋韩版百搭原宿平底跑步单鞋运动鞋女鞋,女装,鞋,运动鞋,"{'m': ['2018', '百'], 'n': ['新款', '鞋', '版', '原宿', '跑步', '单鞋', '运动鞋', '女鞋'], 'vn': ['健步'], 'j': ['韩'], 'v': ['搭'], 't': ['平底']}","['鞋', '鞋', '鞋', '鞋']",鞋
117,2018新款免烫雪纺衬衫垂坠感v领心机上衣设计感衬衣女,女装,上衣,衬衫,"{'m': ['2018'], 'n': ['新款', '衬衫', '领', '心机', '上衣', '衬衣'], 'v': ['免烫', '垂坠', '感', '感'], 'nz': ['雪纺'], 'eng': ['v'], 'vn': ['设计'], 'b': ['女']}","['上衣', '上衣', '上衣']",上衣
118,2018新款内增高休闲防水台女鞋韩版学生松糕坡跟女单鞋小白鞋,女装,鞋,单鞋,"{'m': ['2018'], 'n': ['新款', '内', '女鞋', '学生', '坡', '女单', '鞋', '白鞋'], 'v': ['增高', '休闲', '防水'], 'q': ['台'], 'nt': ['韩版'], 'a': ['松糕', '小'], 'p': ['跟']}","['鞋', '鞋']",鞋
119,2018新款内增高马丁靴女短靴时尚韩版百搭加绒女士皮鞋子g341,女装,鞋,短靴,"{'m': ['2018', '百'], 'n': ['新款', '内', '马丁靴', '短靴', '时尚', '版', '绒', '女士', '皮鞋'], 'v': ['增高', '搭加'], 'b': ['女'], 'j': ['韩'], 'nr': ['子'], 'eng': ['g341']}","['鞋', '鞋', '鞋']",鞋
120,2018新款冬季加厚加绒打底衫蕾丝显瘦PU皮上衣高领保暖长袖T恤女,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '打底衫', '蕾丝', '皮上衣', '高领', '长袖', 'T恤'], 't': ['冬季'], 'nr': ['加厚', '加绒'], 'a': ['显瘦'], 'eng': ['PU'], 'v': ['保暖'], 'b': ['女']}","['上衣', '其它', '上衣']",上衣
121,2018新款冬季加厚棉袄修身羽绒棉服面包服潮小个子棉衣外套女短款b162,女装,外套,棉服,"{'m': ['2018'], 'n': ['新款', '棉袄', '修身', '羽绒', '棉服', '面包', '服潮', '小个子', '棉衣', '外套'], 't': ['冬季'], 'nr': ['加厚'], 'b': ['女', '短款'], 'eng': ['b162']}","['外套', '外套', '外套', '外套']",外套
122,2018新款冬季加厚金丝绒打底裤女外穿韩版百搭保暖小脚加绒裤子,女装,裤子,打底裤,"{'m': ['2018', '百'], 'n': ['新款', '打底裤', '版', '小脚', '裤子'], 't': ['冬季'], 'nr': ['加厚', '金丝绒', '加绒'], 'b': ['女'], 'f': ['外'], 'v': ['穿', '搭', '保暖'], 'j': ['韩']}","['裤子', '裤子', '裤子']",裤子
123,2018新款冬季欧美中筒加绒高跟英伦马丁靴女粗跟后拉链靴子,女装,鞋,靴,"{'m': ['2018'], 'n': ['新款', '马丁靴', '拉链', '靴子'], 't': ['冬季'], 'ns': ['欧美', '英伦'], 'nz': ['中筒加绒'], 'a': ['高', '粗'], 'p': ['跟'], 'b': ['女'], 'f': ['跟后']}","['鞋', '鞋']",鞋
124,2018新款冬季短款女装加厚修身纯色羽绒棉服f174,女装,外套,棉服,"{'m': ['2018'], 'n': ['新款', '女装', '修身', '纯色', '羽绒', '棉服'], 't': ['冬季'], 'b': ['短款'], 'nr': ['加厚'], 'eng': ['f174']}",['外套'],外套
125,2018新款冬季金丝绒韩版轻薄修身棉服短款小棉袄棒球服外套女,女装,外套,棉服,"{'m': ['2018'], 'n': ['新款', '修身', '棉服', '棉袄', '棒球', '外套'], 't': ['冬季'], 'nr': ['金丝绒'], 'nt': ['韩版'], 'a': ['轻薄', '小'], 'b': ['短款', '女'], 'v': ['服']}","['外套', '外套', '外套']",外套
126,2018新款冬装女 蕾丝花边V领加绒加厚打底衫大码小衫t恤,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '冬装', '蕾丝', '花边', '领加绒', '打底衫', '大码', '小衫', '恤'], 'b': ['女'], 'eng': ['V', 't'], 'nr': ['加厚']}","['上衣', '上衣']",上衣
127,2018新款刺绣露肩连衣裙宽松棉麻a字裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '刺绣', '肩', '连衣裙', '棉麻', '字'], 'v': ['露'], 'a': ['宽松'], 'eng': ['a'], 'ng': ['裙']}","['连衣裙', '裙子']",裙子
128,2018新款加绒保暖毛绒装饰黑色马丁靴皮靴,女装,鞋,靴,"{'m': ['2018'], 'n': ['新款', '装饰', '黑色', '马丁靴', '皮靴'], 'nr': ['加绒', '毛绒'], 'v': ['保暖']}","['鞋', '鞋']",鞋
129,2018新款加绒加厚个性亮片凤凰花长袖打底衫,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '个性', '亮片', '长袖', '打底衫'], 'nr': ['加绒', '加厚'], 'nz': ['凤凰花']}","['其它', '上衣']",上衣
130,2018新款加绒加厚保暖长袖格子衬衫女过膝宽松开衫外套中长款,女装,上衣,开衫,"{'m': ['2018'], 'n': ['新款', '长袖', '格子', '衬衫', '开衫', '外套'], 'nr': ['加绒', '加厚'], 'v': ['保暖', '过膝'], 'b': ['女'], 'a': ['宽松'], 'j': ['中长款']}","['其它', '上衣', '上衣', '外套']",上衣
131,2018新款加绒加厚宽松女士中长款长袖打底衫T恤女上衣秋冬装,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '女士', '长袖', '打底衫', 'T恤', '女上衣'], 'nr': ['加绒', '加厚', '秋冬装'], 'a': ['宽松'], 'j': ['中长款']}","['其它', '上衣', '上衣']",上衣
132,2018新款加绒加厚紧身皮裤高腰黑色外穿打底裤,女装,裤子,打底裤,"{'m': ['2018'], 'n': ['新款', '皮裤', '腰', '黑色', '打底裤'], 'nr': ['加绒', '加厚'], 'v': ['紧身', '穿'], 'a': ['高'], 'f': ['外']}",['裤子'],裤子
133,2018新款加绒踩脚显瘦锦纶光泽裤打底裤女外穿秋冬季,女装,裤子,打底裤,"{'m': ['2018'], 'n': ['新款', '脚', '锦纶', '光泽裤', '打底裤'], 'nr': ['加绒'], 'v': ['踩', '穿'], 'a': ['显瘦'], 'b': ['女'], 'f': ['外'], 't': ['秋冬季']}","['裤子', '裤子']",裤子
134,2018新款半高领秋冬套头针织打底衫女长袖百搭【DB】c106,女装,上衣,打底衫,"{'m': ['2018', '半', '百'], 'n': ['新款', '高领', '套头', '针织', '打底衫', '长袖'], 't': ['秋冬'], 'b': ['女'], 'v': ['搭'], 'a': ['DB'], 'eng': ['c106']}","['上衣', '其它']",其它
135,2018新款半高领针织衫气质百搭加大撞色打底连衣裙长款毛衣【DB】f991,女装,连衣裙,连衣裙,"{'m': ['2018', '半', '百'], 'n': ['新款', '高领', '针织衫', '气质', '打底', '连衣裙', '长款', '毛衣'], 'v': ['搭', '加大', '撞'], 'ng': ['色'], 'a': ['DB'], 'eng': ['f991']}","['上衣', '其它', '连衣裙', '上衣']",上衣
136,2018新款单鞋女鞋子低帮鞋韩版时尚圆头中跟松糕鞋,女装,鞋,单鞋,"{'m': ['2018'], 'n': ['新款', '单鞋', '鞋子', '鞋', '版', '时尚', '圆头', '松糕鞋'], 'b': ['女'], 'a': ['低'], 'v': ['帮'], 'j': ['韩'], 'f': ['中'], 'p': ['跟']}","['鞋', '鞋', '鞋', '鞋']",鞋
137,2018新款单鞋女鞋子低帮鞋韩版时尚尖头中跟松糕鞋,女装,鞋,单鞋,"{'m': ['2018'], 'n': ['新款', '单鞋', '鞋子', '鞋', '版', '时尚', '尖头', '松糕鞋'], 'b': ['女'], 'a': ['低'], 'v': ['帮'], 'j': ['韩'], 'f': ['中'], 'p': ['跟']}","['鞋', '鞋', '鞋', '鞋']",鞋
138,2018新款印花弹力长袖T恤纱网打底衫秋大码女装,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '印花', '弹力', '长袖', 'T恤', '纱网', '打底衫', '大码', '女装'], 'tg': ['秋']}","['其它', '上衣', '上衣']",上衣
139,2018新款印花弹力长袖T恤纱网打底衫秋大码女装【qh】,女装,上衣,打底衫,"{'m': ['2018'], 'n': ['新款', '印花', '弹力', '长袖', 'T恤', '纱网', '打底衫', '大码', '女装'], 'tg': ['秋'], 'eng': ['qh']}","['其它', '上衣', '上衣']",上衣
140,2018新款双肩包牛津布韩版潮百搭背包时尚休闲书包旅行包上新包包,女装,包包,背包,"{'m': ['2018', '百'], 'n': ['新款', '背包', '时尚', '书包', '旅行包', '包包'], 'nr': ['双肩包', '牛津布'], 'nt': ['韩版潮'], 'v': ['搭', '休闲', '上新']}","['包包', '包包', '包包', '包包']",包包
141,2018新款喇叭裤微喇侧条纹休闲运动阔腿裤长裤女大码百搭,女装,裤子,阔腿裤,"{'m': ['2018', '百'], 'n': ['新款', '喇叭裤', '喇侧', '条纹', '阔腿裤', '长裤', '大码'], 'a': ['微'], 'v': ['休闲', '搭'], 'vn': ['运动'], 'b': ['女']}","['裤子', '裤子']",裤子
142,2018新款围巾纯色丝巾女欧根纱丝巾防晒披肩沙滩巾yh,女装,配饰,围巾,"{'m': ['2018'], 'n': ['新款', '围巾', '纯色', '丝巾', '丝巾', '披肩'], 'b': ['女'], 'ns': ['欧根'], 'zg': ['纱'], 'v': ['防晒'], 'nr': ['沙滩'], 'ng': ['巾'], 'eng': ['yh']}","['配饰', '配饰', '配饰', '配饰']",配饰
143,2018新款复古文艺大码民族风长袖长裙宽松显瘦休闲连衣裙,女装,连衣裙,连衣裙,"{'m': ['2018'], 'n': ['新款', '文艺', '大码', '长袖', '长裙', '连衣裙'], 'vn': ['复古'], 'nz': ['民族风'], 'a': ['宽松', '显瘦'], 'v': ['休闲']}","['其它', '连衣裙']",连衣裙
